contractor_name,contractor_region,contracts_file,contractor_inn,total_contract_value,total_contract_count,total_work_count,org_type,employee_count,revenue_value,revenue_year,brigades_by_staff,brigades_by_revenue,source_card_url
Не раскрыто в ЕИС [67708737490180001890000],,contractors/ne_raskryto_v_eis_67708737490180001890000.csv,,179576270,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=9221874
Не раскрыто в ЕИС [67708737490170003900000],,contractors/ne_raskryto_v_eis_67708737490170003900000.csv,,152476087,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=6547005
Не раскрыто в ЕИС [67708737490170004010000],,contractors/ne_raskryto_v_eis_67708737490170004010000.csv,,121933862,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=7625582
Не раскрыто в ЕИС [67708737490180001490000],,contractors/ne_raskryto_v_eis_67708737490180001490000.csv,,100000000,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=5702508
Не раскрыто в ЕИС [67708737490180002620000],,contractors/ne_raskryto_v_eis_67708737490180002620000.csv,,100000000,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=5575808
"ООО ""Техноком""",Нижегородская область,contractors/ooo_tehnokom.csv,5249107880,80435486,2,,ООО,3,25000000,2019,1,1,https://www.rusprofile.ru/id/588141
"ООО ""Промстрой""",город Москва,contractors/ooo_promstroi.csv,7710957615,75741297,5,,ООО,2067,27000000000,2024,207,338,https://www.rusprofile.ru/id/7159964
"ООО ""ПКФ ""НТ""",город Санкт-Петербург,contractors/ooo_pkf_nt.csv,7805389720,68395356,7,,ООО,17,187000000,2024,2,3,https://www.rusprofile.ru/id/3970585
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСТЕРРА""",,contractors/obschestvo_s_ogranichennoi_otvetstvennostyu_transterra.csv,5008045267,63717640,2,,ООО,,,,,,
Не раскрыто в ЕИС [67708737490180001630000],,contractors/ne_raskryto_v_eis_67708737490180001630000.csv,,59000000,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=7274860
Не раскрыто в ЕИС [67708737490180000750000],,contractors/ne_raskryto_v_eis_67708737490180000750000.csv,,54171440,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=5683587
"ООО ""НПК ""Энергосервис-Резерв""",Омская область,contractors/ooo_npk_energoservis_rezerv.csv,5501216313,30564799,4,,ООО,9,399000000,2019,1,5,https://www.rusprofile.ru/id/3619112
Не раскрыто в ЕИС [67708737490180003190000],,contractors/ne_raskryto_v_eis_67708737490180003190000.csv,,27000000,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=5797477
Не раскрыто в ЕИС [67708737490190002710000],,contractors/ne_raskryto_v_eis_67708737490190002710000.csv,,26000000,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=20242492
Не раскрыто в ЕИС [67708737490180001750000],,contractors/ne_raskryto_v_eis_67708737490180001750000.csv,,24955020,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=6197924
Не раскрыто в ЕИС [67708737490190000150000],,contractors/ne_raskryto_v_eis_67708737490190000150000.csv,,23252079,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=7074470
Не раскрыто в ЕИС [67708737490180000010000],,contractors/ne_raskryto_v_eis_67708737490180000010000.csv,,22526727,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=5866651
Не раскрыто в ЕИС [67708737490190002480000],,contractors/ne_raskryto_v_eis_67708737490190002480000.csv,,22344153,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=7298261
Не раскрыто в ЕИС [67708737490190003860000],,contractors/ne_raskryto_v_eis_67708737490190003860000.csv,,19196553,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=12907710
Не раскрыто в ЕИС [67708737490190003130000],,contractors/ne_raskryto_v_eis_67708737490190003130000.csv,,19149855,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=7638557
Не раскрыто в ЕИС [67708737490180002970000],,contractors/ne_raskryto_v_eis_67708737490180002970000.csv,,15565360,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=5680095
"ООО ""Завод № 78""",Свердловская область,contractors/ooo_zavod_o_78.csv,6685027450,15000000,1,,ООО,0,0,2022,0,0,https://www.rusprofile.ru/id/6696100
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ППС 52""",,contractors/obschestvo_s_ogranichennoi_otvetstvennostyu_pps_52.csv,4345451428,14934300,2,,ООО,,,,,,
Не раскрыто в ЕИС [67708737490190000440000],,contractors/ne_raskryto_v_eis_67708737490190000440000.csv,,13805585,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=8206032
Не раскрыто в ЕИС [67708737490180002960000],,contractors/ne_raskryto_v_eis_67708737490180002960000.csv,,12819449,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=5675462
Не раскрыто в ЕИС [67708737490180003310000],,contractors/ne_raskryto_v_eis_67708737490180003310000.csv,,12480000,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=5900814
Не раскрыто в ЕИС [67708737490190002600000],,contractors/ne_raskryto_v_eis_67708737490190002600000.csv,,11266364,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=7387011
Не раскрыто в ЕИС [67708737490180000960000],,contractors/ne_raskryto_v_eis_67708737490180000960000.csv,,10752992,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=5887864
Не раскрыто в ЕИС [67708737490190003080000],,contractors/ne_raskryto_v_eis_67708737490190003080000.csv,,10503403,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=11254920
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ВАГОНМАШ""",,contractors/obschestvo_s_ogranichennoi_otvetstvennostyu_proizvodstvennoe_obedinenie_vagonmash.csv,7722516206,9998376,1,120,ООО,,,,,,
"Общество с ограниченной ответственностью ""Центр ремонта железнодорожного траспорта""",,contractors/obschestvo_s_ogranichennoi_otvetstvennostyu_tsentr_remonta_zheleznodorozhnogo_trasporta.csv,3257001971,9987520,1,110,ООО,,,,,,
Не раскрыто в ЕИС [67708737490190002210000],,contractors/ne_raskryto_v_eis_67708737490190002210000.csv,,7140835,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=7156345
"ООО ""РТК""",город Москва,contractors/ooo_rtk.csv,7707702649,6195000,1,,ООО,3406,18000000000,2025,341,225,https://www.rusprofile.ru/id/1469668
Не раскрыто в ЕИС [67708737490190002150000],,contractors/ne_raskryto_v_eis_67708737490190002150000.csv,,5914505,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=8146501
Не раскрыто в ЕИС [67708737490190003390000],,contractors/ne_raskryto_v_eis_67708737490190003390000.csv,,5763169,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=7827707
"ООО ""Аксилон Консалтинг""",город Москва,contractors/ooo_aksilon_konsalting.csv,7708528930,5000000,1,,ООО,20,198000000,2024,2,3,https://www.rusprofile.ru/id/2488976
Не раскрыто в ЕИС [67708737490190003710000],,contractors/ne_raskryto_v_eis_67708737490190003710000.csv,,4800000,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=8101068
Не раскрыто в ЕИС [67708737490190003920000],,contractors/ne_raskryto_v_eis_67708737490190003920000.csv,,4228677,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=8298582
Не раскрыто в ЕИС [67708737490180001540000],,contractors/ne_raskryto_v_eis_67708737490180001540000.csv,,4217630,1,,,,,,,,https://zakupki.gov.ru/epz/contractfz223/card/contract-info.html?id=6028181
